"lat","lon","vehicle_capacity"
"35.57141592","139.5829622","3"
"35.58655067","139.5622334","5"
"35.585634","139.562712","4"
"35.58565","139.558744","4"
"35.579240300729","139.56785198929","4"
"35.57686416718","139.56633478403","5"
"35.577039","139.571934","6"
"35.596046","139.568299","4"
"35.601974","139.548145","11"
"35.6737","139.867324","5"
"35.675773","139.859725","6"
"35.674952","139.860466","5"
"35.6546873","139.5674523","6"
"35.6511522","139.578968","6"
"35.653652","139.5869409","8"
"35.6512658","139.5407536","12"
"35.6443","139.8616","8"
"35.7144767","139.7032217","12"
"35.7138465","139.7915602","6"
"35.712561","139.780532","15"
"35.712316","139.799708","16"
"35.713321","139.7798","15"
"35.7278627","139.7975928","5"
"35.7174692","139.8040831","7"
"35.724652","139.789753","11"
"35.701792","139.666208","1"
"35.709428","139.775873","3"
"35.719025","139.766736","2"
"35.711063","139.781066","1"
"35.723195","139.796219","1"
"35.683616","139.691683","6"
"35.650154","139.707209","4"
"35.673523","139.662372","6"
"35.712449","139.665891","2"
"35.701943","139.67371","5"
"35.703222","139.739091","2"
"35.6457275","139.6979072","3"
"35.630019","139.710477","6"
"35.713614","139.793413","1"
"35.640334","139.67574","3"
"35.6139056","139.7201799","3"
"35.71502","139.800811","4"
"35.653101","139.881082","10"
"35.703044","139.773398","4"
"35.718762","139.804664","4"
"35.693119","139.810669","6"
"35.6884608","139.8279672","14"
"35.731793513708","139.71841154539","5"
"35.5518626","139.6632611","8"
"35.744172638751","139.77468124717","5"
"35.729646","139.727928","4"
"35.702159","139.678923","5"
"35.597395","139.68363","6"
"35.660116","139.706336","7"
"35.726137","139.681736","4"
"35.698284","139.783697","6"
"35.676743","139.672004","6"
"35.71295","139.809196","3"
"35.70039","139.647192","5"
"35.736023","139.708587","3"
"35.733454","139.729541","5"
"35.664563","139.562481","6"
"35.69104","139.727155","5"
"35.720298","139.668206","3"
"35.7033387","139.7800983","6"
"35.7587181","139.7444623","8"
"35.680885","139.741794","5"
"35.700984","139.685327","9"
"35.7031851","139.7086939","6"
"35.70021616","139.8253078","5"
"35.699641","139.82498","2"
"35.6923811","139.7781669","8"
"35.6787122","139.7819971","7"
"35.7637927","139.7050809","6"
"35.7328972","139.7315311","3"
"35.715892538326","139.81760412455","5"
"35.751061864346","139.86645519733","8"
"35.7112538","139.6953447","6"
"35.57233998","139.6228689","6"
"35.61554006","139.5662607","3"
"35.601441","139.584184","6"
"35.795246","139.754633","6"
"35.7428825","139.7203643","4"
"35.683797","139.555398","8"
"35.651151","139.582606","5"
"35.71436394","139.602371","3"
"35.6254361","139.5723664","12"
"35.6656394","139.6734143","19"
"35.6519504","139.6391427","6"
"35.593696","139.540848","5"
"35.799619","139.754208","3"
"35.770265","139.5649598","24"
"35.7780736","139.6953031","7"
"35.654166","139.56664","5"
"35.668205","139.632044","18"
"35.7620106","139.7126966","7"
"35.7512812","139.7223931","4"
"35.7425083","139.6843932","6"
"35.7522438","139.6818468","4"
"35.7905341","139.699556","3"
"35.7424318","139.726348","6"
"35.585949293988","139.59168880834","3"
"35.588405625133","139.58203097197","4"
"35.583195","139.576065","3"
"35.5730128","139.5698351","4"
"35.588034506812","139.58114616255","5"
"35.591005248709","139.58397185605","6"
"35.7415183","139.730145","2"
"35.7413885","139.7300481","9"
"35.7254648","139.7668775","4"
"35.712128043533","139.78784391272","3"
"35.7105373","139.8011598","4"
"35.699470264241","139.80627078528","5"
"35.7568579","139.875405","7"
"35.7683023","139.729398","5"
"35.689487","139.806108","8"
"35.689544","139.807103","4"
"35.726282022262","139.81875323599","7"
"35.5922398","139.6789762","20"
"35.774809188503","139.61325734854","3"
"35.5535058","139.6870446","3"
"35.5681842","139.6107527","4"
"35.647026","139.6218823","15"
"35.6694305","139.6885949","4"
"35.6696697","139.6885981","5"
"35.776123","139.6934638","9"
"35.610536237501","139.57259922341","20"
"35.6186567","139.5674187","38"
